plan_name|adult|young_adult_age_25|young_adult_age_24|young_adult_age_23|young_adult_age_22|young_adult_age_21|young_adult_age_20|young_adult_age_19|young_adult_age_18|child_one|child_two|child_three|child_four|Newborn
Nurses Plan Select|1,417.31|1,271.80|1,110.06|948.34|789.29|659.89|466.52|466.52|466.52|169.11|169.11|169.11|0.00|0.00
One + Plan|1,211.70|1,084.70|943.52|802.36|688.94|576.02|399.52|399.52|399.52|148.94|148.94|148.94|0.00|0.00
One Plan|1,174.59|1,050.93|913.47|780.81|670.84|560.87|408.44|408.44|408.44|153.89|153.89|153.89|0.00|0.00
One Plan 150|1,014.38|905.14|786.96|689.81|592.66|495.50|349.03|349.03|349.03|130.80|130.80|130.80|0.00|0.00
One Plan 250|916.44|816.01|723.50|634.18|544.86|455.54|338.10|338.10|338.10|128.85|128.85|128.85|0.00|0.00
One Plan 500|769.80|700.54|623.58|546.60|469.62|392.64|284.82|284.82|284.82|107.77|107.77|107.77|0.00|0.00
One Plan Access (Plan A)|871.69|780.22|694.49|608.76|523.01|437.28|318.81|318.81|318.81|124.50|124.50|124.50|0.00|0.00
One Plan Access Plus (Plan A Option)|916.47|816.03|723.50|634.19|544.87|455.56|330.88|330.88|330.88|129.70|129.70|129.70|0.00|0.00
One Plan Complete|1,719.02|1,546.35|1,354.45|1,162.55|970.64|783.00|492.57|492.57|492.57|167.94|167.94|167.94|0.00|0.00
One Plan Extra|1,582.77|1,422.36|1,244.08|1,065.81|887.55|727.41|475.83|475.83|475.83|166.15|166.15|166.15|0.00|0.00
One Plan Sport|1,205.48|1,079.03|938.48|798.35|685.90|573.48|602.73|602.73|602.73|281.09|281.09|281.09|0.00|0.00
One Plan Starter|539.31|490.82|436.89|382.96|329.02|275.09|210.34|210.34|210.34|80.89|80.89|80.89|0.00|0.00
One Plan Starter Day 2 Day|646.96|588.78|524.08|459.38|394.69|329.99|265.26|265.26|265.26|103.51|103.51|103.51|0.00|0.00
PMI 05 11|1,737.52|1,563.16|1,369.41|1,175.66|981.90|790.52|590.24|590.24|590.24|455.01|455.01|455.01|0.00|0.00
PMI 21 11|1,379.68|1,237.53|1,079.57|921.59|770.90|644.53|456.10|456.10|456.10|445.20|445.20|445.20|0.00|0.00
PMI 22 11|1,628.67|1,464.10|1,281.23|1,098.38|915.49|746.11|538.81|538.81|538.81|526.28|526.28|526.28|0.00|0.00
PMI 23 11|1,891.16|1,702.97|1,493.85|1,284.74|1,075.62|866.50|673.36|673.36|673.36|580.94|580.94|580.94|0.00|0.00
PMI 25 11|1,621.78|1,457.85|1,275.65|1,093.48|911.30|743.30|533.68|533.68|533.68|504.07|504.07|504.07|0.00|0.00
PMI 39 14|1,330.46|1,192.73|1,039.69|886.64|746.87|624.43|465.71|465.71|465.71|433.60|433.60|433.60|0.00|0.00
PMI 40 15|1,099.73|982.77|852.79|738.26|634.28|530.30|380.22|380.22|380.22|332.38|332.38|332.38|0.00|0.00
PMI 41 15|1,377.99|1,235.99|1,078.19|920.39|770.07|643.83|482.60|482.60|482.60|354.74|354.74|354.74|0.00|0.00
PMI 42 15|1,768.76|1,591.59|1,394.71|1,197.83|1,000.96|804.09|591.50|591.50|591.50|477.67|477.67|477.67|0.00|0.00
Teachers Plan Select|1,417.31|1,271.80|1,110.06|948.34|789.29|659.89|466.52|466.52|466.52|169.11|169.11|169.11|0.00|0.00
||||||||||||||
