"plan_name", "company","adult" ,"young_adult_age_25", "young_adult_age_24", "young_adult_age_23", "young_adult_age_22", "young_adult_age_21", "young_adult_age_20", "young_adult_age_19", "young_adult_age_18", "child_one", "child_two", "child_three", "child_four", "newborn","date"
"Company Plan","Vhi","1102.49","985.29","855.05","739.84","635.64","531.44","381.03","381.03","381.03","349.37","349.37","349.37","0","0","2016-11-01"
"PMI 32 12","Vhi","1411.77","1411.77","1411.77","1411.77","1411.77","1411.77","1411.77","1411.77","1411.77","405.36","405.36","405.36","0","0","2018-11-01"
"PMI 10 04","Vhi","1385.55","1385.55","1385.55","1385.55","1385.55","1385.55","1385.55","1385.55","1385.55","373.06","373.06","373.06","0","0","2019-04-01"
"PM 08 11","Vhi","1225.29","1225.29","1225.29","1225.29","1225.29","1225.29","1225.29","1225.29","1225.29","301.65","301.65","301.65","0","0","2019-02-01"
"PMI 26 12","Vhi","136786","136786.00","136786","136786","136786","136786","136786","136786","136786","374.66","374.66","374.66","0","0","2019-02-01"
"Control 150 Create","Laya","1440.93","1440.93","1440.93","1440.93","1440.93","1440.93","1440.93","1440.93","1440.93","331.77","331.77","0","0","0","2018-10-01"
"Simply Health Excess","Laya","1504.8","1504.80","1504.8","1504.8","1504.8","1504.8","1504.8","1504.8","1504.8","406.27","406.27","0","0","0","2018-10-01"
"Simply Health Starter","Laya","1377.84","1377.84","1377.84","1377.84","1377.84","1377.84","1377.84","1377.84","1377.84","339.76","339.76","0","0","0","2018-10-01"
"360 Care","Laya","2046.01","2046.01","2046.01","2046.01","2046.01","2046.01","2046.01","2046.01","2046.01","531.17","531.17","531.17","531.17","531.17","2018-09-01"
"360 Care Select","Laya","1867","1867.00","1867","1867","1867","1867","1867","1867","1867","480.86","480.86","480.86","480.86","480.86","2018-09-01"
"Connect Care 100","Laya","1343.93","1343.93","1343.93","1343.93","1343.93","1343.93","1343.93","1343.93","1343.93","436.48","436.48","362.43","362.43","0","2018-09-01"
"Connect Care 100","Laya","1358.63","1358.63","1358.63","1358.63","1358.63","1358.63","1358.63","1358.63","1358.63","441.59","441.59","365.89","365.89","0","2017-11-01"
"Control 150 Create","Laya","1393.14","1393.14","1393.14","1393.14","1393.14","1393.14","1393.14","1393.14","1393.14","322.1","322.1","322.1","322.1","322.1","2017-10-01"
"Simply Health Excess","Laya","1457.56","1457.56","1457.56","1457.56","1457.56","1457.56","1457.56","1457.56","1457.56","393.79","393.79","352.34","352.34","0","2017-10-01"
"Simply Health Starter","Laya","1334.64","1334.64","1334.64","1334.64","1334.64","1334.64","1334.64","1334.64","1334.64","330.46","330.46","298.69","298.69","0","2017-10-01"
"PMI 18 11","Vhi","1263.27","1263.27","1263.27","1263.27","1263.27","1263.27","1263.27","1263.27","1263.27","344.48","344.48","344.48","0","0","2017-08-01"
"Connect Care 100","Laya","1298.96","1298.96","1298.96","1298.96","1298.96","1298.96","1298.96","1298.96","1298.96","420.85","420.85","351.88","351.88","0","2017-09-01"
"Simply Connect Plus","Laya","1298.83","1298.83","1298.83","1298.83","1298.83","1298.83","1298.83","1298.83","1298.83","302.88","302.88","302.88","302.88","302.88","2017-09-01"
"Simply Health Choice","Laya","1412.58","1412.58","1412.58","1412.58","1412.58","1412.58","1412.58","1412.58","1412.58","354.34","354.34","354.34","354.34","354.34","2017-09-01"
"Control 150 Create","Laya","1346.73","1346.73","1346.73","1346.73","1346.73","1346.73","1346.73","1346.73","1346.73","312.72","312.72","312.72","312.72","312.72","2017-08-01"
"Simply Health Starter","Laya","1240.04","1240.04","1240.04","1240.04","1240.04","1240.04","1240.04","1240.04","1240.04","310.09","310.09","298.69","298.69","0","2017-08-01"
"Simply Health Excess","Laya","1374.68","1374.68","1374.68","1374.68","1374.68","1374.68","1374.68","1374.68","1374.68","374.1","374.1","334.73","334.73","0","2017-08-01"
"PMI 12 11","Vhi","1245.94","1245.94","1245.94","1245.94","1245.94","1245.94","1245.94","1245.94","1245.94","258.57","258.57","258.57","0","0","2017-07-01"
"PMI 15 11","Vhi","1223.09","1223.09","1223.09","1223.09","1223.09","1223.09","1223.09","1223.09","1223.09","273.94","273.94","273.94","273.94","0","2016-09-01"
"Connect Care 100","Laya","1227.58","1227.58","1227.58","1227.58","1227.58","1227.58","1227.58","1227.58","1227.58","396.84","396.84","335.12","335.12","0","2016-08-01"
"Simply Health Excess","Laya","1327.78","1327.78","1327.78","1327.78","1327.78","1327.78","1327.78","1327.78","1327.78","362.96","362.96","324.76","324.76","0","2016-08-01"
"PMI 31 12","Vhi","1267.87","1267.87","1267.87","1267.87","1267.87","1267.87","1267.87","1267.87","1267.87","377.02","377.02","377.02","0","0","2015-12-01"
"PMI 34 13","Vhi","4253.88","4253.88","4253.88","4253.88","4253.88","4253.88","4253.88","4253.88","4253.88","1160.87","1160.87","1160.87","0","0","2015-12-01"
"Start Plan","Vhi","460.22","418.81","372.78","326.76","280.74","234.72","164","164","164","101.47","101.47","101.47","0","0","2015-11-01"
"Start Plan 250","Vhi","716.47","651.99","580.34","508.7","437.05","365.41","179.38","179.38","179.38","110.7","110.7","110.7","0","0","2015-11-01"
"Company Plan","Vhi","1020.6","910.75","790.95","693.3","595.66","498.01","357.07","357.07","357.07","327.4","327.4","327.4","0","0","2015-11-01"
"Company Plan Executive","Vhi","3512.12","3178.03","2806.82","2435.61","2064.4","1693.19","1074.57","1074.57","1074.57","1046.21","1046.21","1046.21","0","0","2015-11-01"
"Company Plan Executive Excess","Vhi","3177.3","2873.35","2535.62","2197.89","1860.16","1522.43","970.44","970.44","970.44","944.66","944.66","944.66","0","0","2015-11-01"
"Company Plan Extra","Vhi","1524.73","1369.51","1197.04","1024.56","852.09","703.7","521.52","521.52","521.52","366.1","366.1","366.1","0","0","2015-11-01"
"Company Plan Extra Level 1","Vhi","1589.23","1428.20","1249.28","1070.36","891.44","730.01","526.68","526.68","526.68","523.59","523.59","523.59","0","0","2015-11-01"
"Company Plan Extra Level 2","Vhi","1712.04","1539.96","1348.76","1157.55","966.35","780.12","571.57","571.57","571.57","403.68","403.68","403.68","0","0","2015-11-01"
"Company Plan Extra Level 2 Excess","Vhi","1530.92","1375.14","1202.05","1028.96","855.87","706.22","505.53","505.53","505.53","361.77","361.77","361.77","0","0","2015-11-01"
"Company Plan Extra Level 3","Vhi","1565.04","1406.19","1229.69","1053.18","876.68","720.14","524.98","524.98","524.98","522.23","522.23","522.23","0","0","2015-11-01"
"Company Plan Extra Select","Vhi","1187.01","1062.18","923.48","787.82","676.86","565.9","409.23","409.23","409.23","241.88","241.88","241.88","0","0","2015-11-01"
"Company Plan Plus Level 1","Vhi","1351.35","1211.73","1056.6","901.46","757.06","632.95","472.76","472.76","472.76","329.11","329.11","329.11","0","0","2015-11-01"
"Company Plan Plus Level 1.1","Vhi","1313.43","1177.23","1025.88","874.54","738.56","617.48","458.83","458.83","458.83","434.32","434.32","434.32","0","0","2015-11-01"
"Company Plan Plus Level 1.2","Vhi","1359.09","1218.78","1062.87","906.96","760.84","636.11","473.53","473.53","473.53","329.11","329.11","329.11","0","0","2015-11-01"
"Company Plan Plus Select","Vhi","1176.95","1053.03","915.33","782.11","671.95","561.8","424","424","424","398.35","398.35","398.35","0","0","2015-11-01"
"Company Plan Starter","Vhi","799.8","727.82","647.84","567.86","487.88","407.9","318.63","318.63","318.63","291.02","291.02","291.02","0","0","2015-11-01"
"Corporate Plan","Vhi","1224.42","1096.23","953.79","811.34","695.12","581.17","426.58","426.58","426.58","397.32","397.32","397.32","0","0","2015-11-01"
"Family Plan Level 1","Vhi","1016.32","906.86","788.18","690.88","593.57","496.26","367.58","367.58","367.58","337.81","337.81","337.81","0","0","2015-11-01"
"Family Plan Level 2","Vhi","1269.54","1137.29","990.33","843.38","717.14","599.58","452.82","452.82","452.82","428.84","428.84","428.84","0","0","2015-11-01"
"Family Plan Plus Level 1","Vhi","1515.91","1361.48","1189.9","1018.3","846.71","700.1","501.31","501.31","501.31","471.8","471.8","471.8","0","0","2015-11-01"
"First Plan Level 1","Vhi","967.04","862.01","756.25","662.88","569.52","476.16","348.35","348.35","348.35","320.94","320.94","320.94","0","0","2015-11-01"
"First Plan Level 2","Vhi","1180.48","1056.25","918.2","784.12","673.68","563.24","419.1","419.1","419.1","398.15","398.15","398.15","0","0","2015-11-01"
"First Plan Plus Level 1","Vhi","1440.81","1293.14","1129.06","964.98","800.9","669.46","482.07","482.07","482.07","456.51","456.51","456.51","0","0","2015-11-01"
"First Plan Select","Vhi","1207.35","1080.69","939.96","799.38","686.79","574.2","377.59","377.59","377.59","373.91","373.91","373.91","0","0","2015-11-01"
"Forward Plan Level 1","Vhi","2942.24","2659.44","2345.22","2031","1716.78","1402.55","885.75","885.75","885.75","852.55","852.55","852.55","0","0","2015-11-01"
"Health Access","Vhi","1491.54","1339.31","1170.15","1001","831.84","690.15","511.65","511.65","511.65","497.39","497.39","497.39","0","0","2015-11-01"
"HealthPlus Access (Plan B)","Vhi","1858.13","1672.90","1467.09","1261.28","1055.46","849.65","633.17","633.17","633.17","389.01","389.01","389.01","0","0","2015-11-01"
"HealthPlus Choice (Plan C)","Vhi","2760.31","2493.89","2197.86","1901.83","1605.8","1309.76","719.87","719.87","719.87","686.29","686.29","686.29","0","0","2015-11-01"
"HealthPlus Excess (Plan B Excess)","Vhi","1632.67","1467.74","1284.47","1101.2","917.94","747.74","556.24","556.24","556.24","546.3","546.3","546.3","0","0","2015-11-01"
"HealthPlus Extra (Plan B Options)","Vhi","2280.25","2057.03","1809.01","1560.98","1312.96","1064.93","766.91","766.91","766.91","436.25","436.25","436.25","0","0","2015-11-01"
"HealthPlus Platinum (Plan E)","Vhi","4893.68","4435.25","3925.89","3416.52","2907.15","2397.78","962.52","962.52","962.52","936.77","936.77","936.77","0","0","2015-11-01"
"HealthPlus Premium (Plan D)","Vhi","3385.5","3062.81","2704.26","2345.71","1987.16","1628.61","809.51","809.51","809.51","787.79","787.79","787.79","0","0","2015-11-01"
"HealthPlus Select","Vhi","1652.29","1485.59","1300.36","1115.13","929.9","755.74","576.36","576.36","576.36","398.68","398.68","398.68","0","0","2015-11-01"
"Nurses Plan Select","Vhi","1229.74","1101.07","958.09","815.12","697.72","583.34","400.82","400.82","400.82","299.01","299.01","299.01","0","0","2015-11-01"
"Nurses Plan","Vhi","1511.72","1357.67","1186.5","1015.33","844.15","698.38","517.67","517.67","517.67","358.45","358.45","358.45","0","0","2015-11-01"
"One + Plan","Vhi","1066.06","952.12","825.51","719.13","617.84","516.56","373.89","373.89","373.89","262.11","262.11","262.11","0","0","2015-11-01"
"One Plan","Vhi","1038.82","927.33","803.45","703.66","604.55","505.44","371","371","371","272.15","272.15","272.15","0","0","2015-11-01"
"One Plan 1.10","Vhi","1229.92","1101.23","958.24","815.25","697.81","583.41","415.93","415.93","415.93","299.49","299.49","299.49","0","0","2015-11-01"
"One Plan 150","Vhi","912.49","812.37","720.9","631.9","542.9","453.9","329.14","329.14","329.14","236.41","236.41","236.41","0","0","2015-11-01"
"One Plan 250","Vhi","815.82","739.52","658.26","576.99","495.73","414.46","319.71","319.71","319.71","233.35","233.35","233.35","0","0","2015-11-01"
"One Plan 500","Vhi","692.99","630.62","561.33","492.03","422.73","353.43","318.46","318.46","318.46","232.43","232.43","232.43","0","0","2015-11-01"
"One Plan Access (Plan A)","Vhi","851.39","765.42","681.3","597.19","513.08","428.97","312.77","312.77","312.77","254.69","254.69","254.69","0","0","2015-11-01"
"One Plan Access Plus (Plan A Option)","Vhi","896.11","797.98","710.28","622.59","534.9","447.22","324.85","324.85","324.85","254.69","254.69","254.69","0","0","2015-11-01"
"One Plan Choice","Vhi","1058.3","945.06","819.23","714.72","614.06","513.39","374.93","374.93","374.93","258.24","258.24","258.24","0","0","2015-11-01"
"One Plan Complete","Vhi","1529.47","1373.82","1200.88","1027.93","854.98","705.63","505.92","505.92","505.92","302.71","302.71","302.71","0","0","2015-11-01"
"One Plan Extra","Vhi","1391.08","1247.89","1088.78","929.67","776.46","649.17","467.93","467.93","467.93","302.71","302.71","302.71","0","0","2015-11-01"
"One Plan Family","Vhi","1076.67","961.77","834.11","725.15","623.02","520.89","383.21","383.21","383.21","277.38","277.38","277.38","0","0","2015-11-01"
"One Plan Sport","Vhi","1066.65","952.66","825.99","719.46","618.13","516.8","533.32","533.32","533.32","533.32","533.32","533.32","0","0","2015-11-01"
"One Plan Starter","Vhi","539.52","490.97","437.02","383.06","329.11","275.16","255.52","255.52","255.52","205.94","205.94","205.94","0","0","2015-11-01"
"One Plan Starter Day 2 Day","Vhi","636.39","579.12","515.48","451.84","388.2","324.56","318.07","318.07","318.07","269.26","269.26","269.26","0","0","2015-11-01"
"Parents and Kids Excess Plan","Vhi","1352.72","1212.98","1057.71","902.44","757.73","633.51","482.92","482.92","482.92","287.04","287.04","287.04","0","0","2015-11-01"
"Parents and Kids Options Plan","Vhi","1760.89","1584.41","1388.33","1192.24","996.15","800.06","593.08","593.08","593.08","313.39","313.39","313.39","0","0","2015-11-01"
"Parents and Kids Plan","Vhi","1555.76","1397.75","1222.17","1046.59","871.02","716.35","533","533","533","303.55","303.55","303.55","0","0","2015-11-01"
"PMI 32 12","Vhi","1330.33","1192.62","1039.58","886.55","746.81","624.38","443.4","443.4","443.4","443.4","443.4","443.4","0","0","2015-11-01"
"Teachers Plan Select","Vhi","1229.74","1101.07","958.09","815.12","697.72","583.34","400.82","400.82","400.82","299.01","299.01","299.01","0","0","2015-11-01"
"Teachers Plan","Vhi","1511.72","1357.67","1186.5","1015.33","844.15","698.38","517.67","517.67","517.67","358.45","358.45","358.45","0","0","2015-11-01"
"Health Plus Excess 250","Vhi","1397.28","1253.53","1093.8","934.07","779.48","651.7","471.91","471.91","471.91","463.25","463.25","463.25","0","0","2015-11-01"
"Health Extra","Vhi","2029.06","1828.45","1605.54","1382.64","1159.73","936.83","678.9","678.9","678.9","385.7","385.7","385.7","0","0","2015-11-01"
"Health Choice","Vhi","2451.25","2212.64","1947.52","1682.39","1417.27","1152.14","634.15","634.15","634.15","604.48","604.48","604.48","0","0","2015-11-01"
"Health Premium","Vhi","3125.68","2826.37","2493.81","2161.24","1828.67","1496.1","743.35","743.35","743.35","723.4","723.4","723.4","0","0","2015-11-01"
"Health Platinum","Vhi","4523.27","4098.18","3625.85","3153.53","2681.2","2208.87","885","885","885","861.52","861.52","861.52","0","0","2015-11-01"
"Company Plan Plus Level 1.3","Vhi","1172.56","1049.03","911.78","779.62","669.82","560.01","449.02","449.02","449.02","346.75","346.75","346.75","0","0","2015-11-01"
"PMI 40 15","Vhi","935.43","833.27","735.78","644.94","554.1","463.27","332.16","332.16","332.16","304.56","304.56","304.56","0","0","2015-11-01"
"PMI 41 15","Vhi","1152.92","1031.17","895.89","768.47","660.24","552","399.6","399.6","399.6","325.29","325.29","325.29","0","0","2015-11-01"
"PMI 42 15","Vhi","1560.11","1401.71","1225.7","1049.69","873.68","718.14","518.21","518.21","518.21","493.48","493.48","493.48","0","0","2015-11-01"
"Plan P","Vhi","95","95.00","95","95","95","95","95","95","95","42.75","42.75","42.75","0","0","2015-11-01"
"Nurses Plan Select","Vhi","1174.75","1051.03","913.55","780.86","670.88","560.9","385.25","385.25","385.25","143.72","143.72","143.72","0","0","2015-08-01"
"One + Plan","Vhi","1023.25","913.16","792.67","694.81","596.95","499.09","361.25","361.25","361.25","126.6","126.6","126.6","0","0","2015-08-01"
"One Plan","Vhi","1006.25","897.69","781.66","685.15","588.66","492.15","361.25","361.25","361.25","132.48","132.48","132.48","0","0","2015-08-01"
"One Plan 1.10","Vhi","1176.25","1052.39","914.77","781.71","671.62","561.51","397.25","397.25","397.25","144.12","144.12","144.12","0","0","2015-08-01"
"One Plan 150","Vhi","891.75","794.80","707.46","620.12","532.78","445.44","323","323","323","116","116","116","0","0","2015-08-01"
"One Plan 250","Vhi","797.5","725.74","645.98","566.23","486.48","406.73","313.75","313.75","313.75","114.5","114.5","114.5","0","0","2015-08-01"
"One Plan 500","Vhi","682.75","621.31","553.03","484.76","416.48","348.21","313.75","313.75","313.75","114.5","114.5","114.5","0","0","2015-08-01"
"One Plan Access (Plan A)","Vhi","822.75","744.57","662.74","580.93","499.1","417.29","304.25","304.25","304.25","123.84","123.84","123.84","0","0","2015-08-01"
"One Plan Access Plus (Plan A Option)","Vhi","866.25","776.23","690.94","605.63","520.34","435.03","316","316","316","123.84","123.84","123.84","0","0","2015-08-01"
"One Plan Choice","Vhi","1015.75","906.34","787.81","690.55","593.29","496.03","362.25","362.25","362.25","124.72","124.72","124.72","0","0","2015-08-01"
"One Plan Complete","Vhi","1484","1332.45","1164.04","995.64","827.24","687.07","489.99","489.99","489.99","147.36","147.36","147.36","0","0","2015-08-01"
"One Plan Extra","Vhi","1349.25","1209.82","1054.9","899.97","756.04","632.1","453","453","453","147.36","147.36","147.36","0","0","2015-08-01"
"One Plan Family","Vhi","1033.5","922.49","799.31","700.63","601.95","503.27","370.25","370.25","370.25","134","134","134","0","0","2015-08-01"
"One Plan Sport","Vhi","1025","914.75","793.8","695.8","597.8","499.8","512.5","512.5","512.5","245","245","245","0","0","2015-08-01"
"One Plan Starter","Vhi","530.5","482.76","429.71","376.66","323.61","270.56","251.25","251.25","251.25","101.25","101.25","101.25","0","0","2015-08-01"
"One Plan Starter Day 2 Day","Vhi","625.75","569.44","506.86","444.29","381.71","319.14","312.75","312.75","312.75","132.37","132.37","132.37","0","0","2015-08-01"
"PMI 10 11","Vhi","1167.78","1044.78","908","776.98","667.55","558.14","392.54","392.54","392.54","314.05","314.05","314.05","0","0","2015-08-01"
"PMI 11 11","Vhi","1251.11","1121.11","975.56","831.11","708.45","592.89","360","360","360","225.78","225.78","225.78","0","0","2015-08-01"
"PMI 12 11","Vhi","1160","1037.78","902.22","773.34","664","555.55","342.22","342.22","342.22","208.89","208.89","208.89","0","0","2015-08-01"
"Teachers Plan Select","Vhi","1174.75","1051.03","913.55","780.86","670.88","560.9","385.25","385.25","385.25","143.72","143.72","143.72","0","0","2015-08-01"
"Company Plan Plus Level 1.3","Vhi","1130","1010.30","877.3","755.44","649.04","542.64","432","432","432","336","336","336","0","0","2015-08-01"
"Company Plan Plus Level 1.3","Vhi","1131.65","1011.83","878.67","756.39","649.87","543.34","432.66","432.66","432.66","336.42","336.42","336.42","0","0","2016-08-01"
"Nurses Plan Select","Vhi","1309.81","1173.95","1022.96","871.99","736.81","616.02","428.87","428.87","428.87","157.84","157.84","157.84","0","0","2016-08-01"
"One + Plan","Vhi","1124.3","1005.14","872.7","752.22","646.28","540.34","391.09","391.09","391.09","137.08","137.08","137.08","0","0","2016-08-01"
"One Plan","Vhi","1095.81","979.21","849.63","736.04","632.38","528.7","388.06","388.06","388.06","142.32","142.32","142.32","0","0","2016-08-01"
"One Plan 150","Vhi","948.09","844.79","743.98","652.14","560.29","468.44","339.67","339.67","339.67","121.96","121.96","121.96","0","0","2016-08-01"
"One Plan 250","Vhi","848.33","763.20","679.34","595.47","511.61","427.74","329.94","329.94","329.94","120.4","120.4","120.4","0","0","2016-08-01"
"One Plan 500","Vhi","715.17","650.82","579.3","507.79","436.27","364.76","328.65","328.65","328.65","119.92","119.92","119.92","0","0","2016-08-01"
"One Plan Access (Plan A)","Vhi","900.81","801.76","713.34","625.28","537.21","449.14","327.47","327.47","327.47","133.32","133.32","133.32","0","0","2016-08-01"
"One Plan Access Plus (Plan A Option)","Vhi","947.63","844.37","743.68","651.87","560.06","468.25","340.11","340.11","340.11","133.32","133.32","133.32","0","0","2016-08-01"
"One Plan Complete","Vhi","1609.03","1446.24","1265.34","1084.43","903.53","738.1","533.79","533.79","533.79","158.32","158.32","158.32","0","0","2016-08-01"
"One Plan Extra","Vhi","1464.27","1314.51","1148.08","981.65","815.24","679.05","494.05","494.05","494.05","158.32","158.32","158.32","0","0","2016-08-01"
"One Plan Family","Vhi","1135.4","1015.23","881.7","758.53","651.69","544.86","401.04","401.04","401.04","145.04","145.04","145.04","0","0","2016-08-01"
"One Plan Sport","Vhi","1124.92","1005.70","873.21","752.58","646.58","540.59","562.45","562.45","562.45","264.96","264.96","264.96","0","0","2016-08-01"
"One Plan Starter","Vhi","547.48","498.22","443.48","388.74","333.98","279.23","259.29","259.29","259.29","104.48","104.48","104.48","0","0","2016-08-01"
"One Plan Starter Day 2 Day","Vhi","656.76","597.66","531.99","466.31","400.64","334.96","328.25","328.25","328.25","138.92","138.92","138.92","0","0","2016-08-01"
"PMI 10 11","Vhi","1208.81","1082.13","941.24","800.36","687.58","574.89","405.4","405.4","405.4","323.47","323.47","323.47","0","0","2016-08-01"
"PMI 12 11","Vhi","1189.92","1065.02","926.47","790.35","678.61","567.78","349.76","349.76","349.76","240.22","240.22","240.22","0","0","2016-08-01"
"PMI 29 12","Vhi","1243.82","1113.88","969.5","825.12","704.59","589.08","396.65","396.65","396.65","301.12","301.12","301.12","0","0","2016-08-01"
"Teachers Plan Select","Vhi","1309.81","1173.95","1022.96","871.99","736.81","616.02","428.87","428.87","428.87","157.84","157.84","157.84","0","0","2016-08-01"
"PMI 31 12","Vhi","1339.16","1200.67","1046.75","892.84","751.14","628.01","446.55","446.55","446.55","387.19","387.19","387.19","0","0","2016-12-01"
"Nurses Plan Select","Vhi","1370.2","1228.92","1071.89","914.88","766.29","640.66","450.02","450.02","450.02","164.19","164.19","164.19","0","0","2016-12-31"
"One + Plan","Vhi","1177.27","1053.36","915.62","782.32","672.14","561.96","408.41","408.41","408.41","145.3","145.3","145.3","0","0","2016-12-31"
"One Plan","Vhi","1147.64","1026.39","891.63","765.49","657.68","549.86","404.48","404.48","404.48","150.87","150.87","150.87","0","0","2016-12-31"
"One Plan 150","Vhi","990.57","883.46","771.52","676.27","581.02","485.78","352.24","352.24","352.24","126.5","126.5","126.5","0","0","2016-12-31"
"One Plan 250","Vhi","889.21","792.98","705.84","618.7","531.57","444.42","342.81","342.81","342.81","125.1","125.1","125.1","0","0","2016-12-31"
